nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5
5,0.9,0.4,0.2,0.1,0,1000,0.05,2,40,7.61904761904762,24.7619047619048,12.3809523809524,14.2857142857143
5,0.9,0.4,0.2,0.1,0,1000,0.05,3,32.3809523809524,10.4761904761905,26.6666666666667,13.3333333333333,16.1904761904762
10,0.9,0.4,0.2,0.1,0,1000,0.05,1,40,14.2857142857143,15.2380952380952,16.1904761904762,14.2857142857143
10,0.9,0.4,0.2,0.1,0,1000,0.05,2,40,14.2857142857143,15.2380952380952,16.1904761904762,14.2857142857143
10,0.9,0.4,0.2,0.1,0,1000,0.05,3,36.1904761904762,14.2857142857143,13.3333333333333,18.0952380952381,18.0952380952381
50,0.9,0.4,0.2,0.1,0,1000,0.05,1,39.2857142857143,15.1785714285714,14.2857142857143,16.9642857142857,14.2857142857143
50,0.9,0.4,0.2,0.1,0,1000,0.05,2,39.2857142857143,15.1785714285714,14.2857142857143,16.9642857142857,14.2857142857143
50,0.9,0.4,0.2,0.1,0,1000,0.05,3,27.6785714285714,9.82142857142857,14.2857142857143,25,23.2142857142857
2,0,0.1,0.4,0.1,0,1000,0.05,1,23.3333333333333,15.5555555555556,22.2222222222222,27.7777777777778,11.1111111111111
2,0,0.1,0.4,0.1,0,1000,0.05,2,23.3333333333333,15.5555555555556,22.2222222222222,27.7777777777778,11.1111111111111
2,0,0.1,0.4,0.1,0,1000,0.05,3,22.2222222222222,15.5555555555556,22.2222222222222,27.7777777777778,12.2222222222222
5,0,0.1,0.4,0.1,0,1000,0.05,1,27.8688524590164,18.8524590163934,20.4918032786885,17.2131147540984,15.5737704918033
5,0,0.1,0.4,0.1,0,1000,0.05,2,27.8688524590164,18.8524590163934,20.4918032786885,17.2131147540984,15.5737704918033
5,0,0.1,0.4,0.1,0,1000,0.05,3,27.0491803278689,18.8524590163934,19.672131147541,17.2131147540984,17.2131147540984
10,0,0.1,0.4,0.1,0,1000,0.05,1,24.1206030150754,19.0954773869347,22.1105527638191,18.0904522613065,16.5829145728643
10,0,0.1,0.4,0.1,0,1000,0.05,2,24.1206030150754,19.0954773869347,22.1105527638191,18.0904522613065,16.5829145728643
10,0,0.1,0.4,0.1,0,1000,0.05,3,20.6030150753769,17.0854271356784,23.6180904522613,18.5929648241206,20.1005025125628
50,0,0.1,0.4,0.1,0,1000,0.05,1,42.0253164556962,26.0759493670886,16.4556962025316,8.86075949367089,6.58227848101266
50,0,0.1,0.4,0.1,0,1000,0.05,2,42.0253164556962,26.0759493670886,16.4556962025316,8.86075949367089,6.58227848101266
50,0,0.1,0.4,0.1,0,1000,0.05,3,21.2658227848101,21.0126582278481,19.746835443038,21.2658227848101,16.7088607594937
2,0.3,0.1,0.4,0.1,0,1000,0.05,1,14.9253731343284,20.8955223880597,26.865671641791,17.910447761194,19.4029850746269
2,0.3,0.1,0.4,0.1,0,1000,0.05,2,14.9253731343284,20.8955223880597,26.865671641791,17.910447761194,19.4029850746269
2,0.3,0.1,0.4,0.1,0,1000,0.05,3,13.4328358208955,22.3880597014925,25.3731343283582,17.910447761194,20.8955223880597
5,0.3,0.1,0.4,0.1,0,1000,0.05,1,31.1111111111111,15.5555555555556,16.2962962962963,21.4814814814815,15.5555555555556
