nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5,k_sig,k
1,0,0.3,0,0.5,0,10000,0.05,3,0.513888888888889,0.143333333333333,0.133888888888889,0.113888888888889,0.095,1800,10000
1,0,0.4,0,0.5,0,10000,0.05,1,0.590277777777778,0.131018518518519,0.107407407407407,0.0824074074074074,0.0888888888888889,2160,10000
1,0,0.4,0,0.5,0,10000,0.05,2,0.590277777777778,0.131018518518519,0.107407407407407,0.0824074074074074,0.0888888888888889,2160,10000
1,0,0.4,0,0.5,0,10000,0.05,3,0.590277777777778,0.131018518518519,0.107407407407407,0.0824074074074074,0.0888888888888889,2160,10000
1,0,0.5,0,0.5,0,10000,0.05,1,0.613386978785662,0.139722019019751,0.0950987564008778,0.08558888076079,0.0662033650329188,2734,10000
1,0,0.5,0,0.5,0,10000,0.05,2,0.613386978785662,0.139722019019751,0.0950987564008778,0.08558888076079,0.0662033650329188,2734,10000
1,0,0.5,0,0.5,0,10000,0.05,3,0.613386978785662,0.139722019019751,0.0950987564008778,0.08558888076079,0.0662033650329188,2734,10000
1,0,0.6,0,0.5,0,10000,0.05,1,0.680961070559611,0.112226277372263,0.0833333333333333,0.0647810218978102,0.058698296836983,3288,10000
1,0,0.6,0,0.5,0,10000,0.05,2,0.680961070559611,0.112226277372263,0.0833333333333333,0.0647810218978102,0.058698296836983,3288,10000
1,0,0.6,0,0.5,0,10000,0.05,3,0.680961070559611,0.112226277372263,0.0833333333333333,0.0647810218978102,0.058698296836983,3288,10000
1,0,0.7,0,0.5,0,10000,0.05,1,0.720371381758602,0.101037684325505,0.0671764063353359,0.0606226105953031,0.050791916985254,3662,10000
1,0,0.7,0,0.5,0,10000,0.05,2,0.720371381758602,0.101037684325505,0.0671764063353359,0.0606226105953031,0.050791916985254,3662,10000
1,0,0.7,0,0.5,0,10000,0.05,3,0.720371381758602,0.101037684325505,0.0671764063353359,0.0606226105953031,0.050791916985254,3662,10000
1,0,0.8,0,0.5,0,10000,0.05,1,0.761091279959205,0.0887302396736359,0.0662927078021418,0.0430902600713922,0.0407955124936257,3922,10000
1,0,0.8,0,0.5,0,10000,0.05,2,0.761091279959205,0.0887302396736359,0.0662927078021418,0.0430902600713922,0.0407955124936257,3922,10000
1,0,0.8,0,0.5,0,10000,0.05,3,0.761091279959205,0.0887302396736359,0.0662927078021418,0.0430902600713922,0.0407955124936257,3922,10000
1,0,0.1,0,0.7,0,10000,0.05,1,0.31025641025641,0.165384615384615,0.188461538461538,0.171794871794872,0.164102564102564,780,10000
1,0,0.1,0,0.7,0,10000,0.05,2,0.31025641025641,0.165384615384615,0.188461538461538,0.171794871794872,0.164102564102564,780,10000
1,0,0.1,0,0.7,0,10000,0.05,3,0.31025641025641,0.165384615384615,0.188461538461538,0.171794871794872,0.164102564102564,780,10000
1,0,0.2,0,0.7,0,10000,0.05,1,0.426950354609929,0.187943262411348,0.14468085106383,0.121985815602837,0.118439716312057,1410,10000
1,0,0.2,0,0.7,0,10000,0.05,2,0.426950354609929,0.187943262411348,0.14468085106383,0.121985815602837,0.118439716312057,1410,10000
1,0,0.2,0,0.7,0,10000,0.05,3,0.426950354609929,0.187943262411348,0.14468085106383,0.121985815602837,0.118439716312057,1410,10000
1,0,0.3,0,0.7,0,10000,0.05,1,0.523029229406555,0.158990256864482,0.122674933569531,0.102302922940655,0.0930026572187777,2258,10000
1,0,0.3,0,0.7,0,10000,0.05,2,0.523029229406555,0.158990256864482,0.122674933569531,0.102302922940655,0.0930026572187777,2258,10000
1,0,0.3,0,0.7,0,10000,0.05,3,0.523029229406555,0.158990256864482,0.122674933569531,0.102302922940655,0.0930026572187777,2258,10000
1,0,0.4,0,0.7,0,10000,0.05,1,0.593317583530206,0.14073574080324,0.102936213297334,0.0850489368882889,0.0779615254809315,2963,10000
1,0,0.4,0,0.7,0,10000,0.05,2,0.593317583530206,0.14073574080324,0.102936213297334,0.0850489368882889,0.0779615254809315,2963,10000
1,0,0.4,0,0.7,0,10000,0.05,3,0.593317583530206,0.14073574080324,0.102936213297334,0.0850489368882889,0.0779615254809315,2963,10000
1,0,0.5,0,0.7,0,10000,0.05,1,0.656438356164384,0.121643835616438,0.0906849315068493,0.0687671232876712,0.0624657534246575,3650,10000
1,0,0.5,0,0.7,0,10000,0.05,2,0.656438356164384,0.121643835616438,0.0906849315068493,0.0687671232876712,0.0624657534246575,3650,10000
