nvar,r,d,het,iter,alpha,strategy,p1,p2,p3,p4,p5
67,0.1,0,0,10000,0.05,2,50.2247778358599,24.6732880292734,13.9466806063774,7.20334553058024,3.95190799790904
67,0.1,0,0,10000,0.05,3,20.1463669628855,19.5295347621537,20.3554626241506,20.2404600104548,19.7281756403555
69,0.1,0,0,10000,0.05,1,48.7535203921978,26.014394492542,13.8312297903411,7.59361635548138,3.80723896943778
69,0.1,0,0,10000,0.05,2,48.7535203921978,26.014394492542,13.8312297903411,7.59361635548138,3.80723896943778
69,0.1,0,0,10000,0.05,3,18.7962866381558,20.1627203504746,20.4547825179931,20.2357358923542,20.3504746010222
71,0.1,0,0,10000,0.05,1,51.1994159365874,25.2190237797247,13.3187317480184,6.87317480183563,3.38965373383396
71,0.1,0,0,10000,0.05,2,51.1994159365874,25.2190237797247,13.3187317480184,6.87317480183563,3.38965373383396
71,0.1,0,0,10000,0.05,3,19.8268669169796,19.3471005423446,20.6821026282854,20.5673758865248,19.5765540258657
73,0.1,0,0,10000,0.05,1,52.3003919950485,24.8916855787085,12.5954198473282,6.69486280173303,3.51763977718176
73,0.1,0,0,10000,0.05,2,52.3003919950485,24.8916855787085,12.5954198473282,6.69486280173303,3.51763977718176
73,0.1,0,0,10000,0.05,3,19.1664947390138,20.1052197235403,19.8782752217867,20.7860532288013,20.0639570868579
75,0.1,0,0,10000,0.05,1,52.2048951771145,24.7960342868946,13.0951151502633,6.77475988846432,3.12919549726324
75,0.1,0,0,10000,0.05,2,52.2048951771145,24.7960342868946,13.0951151502633,6.77475988846432,3.12919549726324
75,0.1,0,0,10000,0.05,3,19.7046369926676,19.5084168129712,19.7459465041826,20.0144583290303,21.0265413611484
77,0.1,0,0,10000,0.05,1,52.6185821586583,25.846280481531,12.7276468772507,5.87509002983846,2.93240045272147
77,0.1,0,0,10000,0.05,2,52.6185821586583,25.846280481531,12.7276468772507,5.87509002983846,2.93240045272147
77,0.1,0,0,10000,0.05,3,19.0348801317008,20.1563946908118,21.1647288815722,20.0535034468567,19.5904928490585
27,0,0,0,10000,0.05,1,31.4059565334049,24.3627582506037,19.2782398712101,14.4888650389053,10.464180305876
27,0,0,0,10000,0.05,2,31.4059565334049,24.3627582506037,19.2782398712101,14.4888650389053,10.464180305876
27,0,0,0,10000,0.05,3,19.5063053394151,19.9892675073786,20.5124765226724,20.3917359806815,19.6002146498524
79,0.1,0,0,10000,0.05,1,53.3272002453235,25.0638863334356,12.3888377798221,6.33752427680671,2.88255136461208
79,0.1,0,0,10000,0.05,2,53.3272002453235,25.0638863334356,12.3888377798221,6.33752427680671,2.88255136461208
79,0.1,0,0,10000,0.05,3,19.0739037105182,19.6974343248492,20.1267504855361,20.5151793928243,20.5867320862721
81,0.1,0,0,10000,0.05,1,53.8303763716542,25.3717567428982,11.9680032817147,5.57891498307866,3.25094862065429
81,0.1,0,0,10000,0.05,2,53.8303763716542,25.3717567428982,11.9680032817147,5.57891498307866,3.25094862065429
81,0.1,0,0,10000,0.05,3,19.0544559532356,19.9774382114655,19.9466721361912,20.1928007383858,20.828632960722
83,0.1,0,0,10000,0.05,1,55.7662893851331,24.5946772713368,11.389823595391,5.65922300397675,2.58998674416233
83,0.1,0,0,10000,0.05,2,55.7662893851331,24.5946772713368,11.389823595391,5.65922300397675,2.58998674416233
