prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
1,0,8,22,5,0,0,0.115318416523236,0.191910499139415,0.197934595524957,0.216867469879518,0.277969018932874,1162,10000
0.1,0,8,50,5,0,0,0.144444444444444,0.206349206349206,0.212698412698413,0.219047619047619,0.217460317460317,630,10000
0.25,0,8,50,5,0,0,0.142335766423358,0.184914841849148,0.206812652068127,0.237226277372263,0.228710462287105,822,10000
0.5,0,8,50,5,0,0,0.110714285714286,0.166071428571429,0.208035714285714,0.239285714285714,0.275892857142857,1120,10000
0.75,0,8,50,5,0,0,0.0956937799043062,0.170198222829802,0.200273410799727,0.243335611756664,0.290498974709501,1463,10000
1,0,8,50,5,0,0,0.0849162011173184,0.164804469273743,0.206145251396648,0.245251396648045,0.298882681564246,1790,10000
0.1,0,22,50,5,0,0,0.18848167539267,0.181500872600349,0.193717277486911,0.169284467713787,0.267015706806283,573,10000
0.25,0,22,50,5,0,0,0.159253945480631,0.162123385939742,0.185078909612626,0.238163558106169,0.255380200860832,697,10000
0.5,0,22,50,5,0,0,0.130688448074679,0.170361726954492,0.180863477246208,0.235705950991832,0.282380396732789,857,10000
0.75,0,22,50,5,0,0,0.108901515151515,0.166666666666667,0.183712121212121,0.241477272727273,0.299242424242424,1056,10000
1,0,22,50,5,0,0,0.1024,0.1456,0.1912,0.244,0.3168,1250,10000
0.1,0,8,177,5,0,0,0.135430916552668,0.160054719562244,0.209302325581395,0.233926128590971,0.261285909712722,731,10000
0.25,0,8,177,5,0,0,0.110912343470483,0.135957066189624,0.211091234347048,0.241502683363149,0.300536672629696,1118,10000
0.5,0,8,177,5,0,0,0.083987915407855,0.126283987915408,0.179456193353474,0.272507552870091,0.337764350453172,1655,10000
0.75,0,8,177,5,0,0,0.067591763652641,0.122649955237243,0.174574753804834,0.277976723366159,0.357206803939123,2234,10000
1,0,8,177,5,0,0,0.0547896783315659,0.116295510781195,0.178861788617886,0.277483209614705,0.372569812654648,2829,10000
0.1,0,22,177,5,0,0,0.148571428571429,0.172857142857143,0.172857142857143,0.232857142857143,0.272857142857143,700,10000
0.25,0,22,177,5,0,0,0.111680327868852,0.140368852459016,0.188524590163934,0.23155737704918,0.327868852459016,976,10000
0.5,0,22,177,5,0,0,0.0698166431593794,0.119181946403385,0.176304654442877,0.248236953455571,0.386459802538787,1418,10000
0.75,0,22,177,5,0,0,0.0704076230809952,0.0979354155637904,0.169931180518793,0.266807834833245,0.394917946003176,1889,10000
1,0,22,177,5,0,0,0.0552742616033755,0.089873417721519,0.165400843881857,0.271308016877637,0.418143459915612,2370,10000
0.1,0,50,177,5,0,0,0.168453292496172,0.165390505359877,0.180704441041348,0.232771822358346,0.252679938744257,653,10000
0.25,0,50,177,5,0,0,0.143884892086331,0.142685851318945,0.176258992805755,0.23621103117506,0.300959232613909,834,10000
0.5,0,50,177,5,0,0,0.0779220779220779,0.0978354978354978,0.185281385281385,0.260606060606061,0.378354978354978,1155,10000
0.75,0,50,177,5,0,0,0.0630508474576271,0.0915254237288136,0.165423728813559,0.279322033898305,0.400677966101695,1475,10000
1,0,50,177,5,0,0,0.0515743756786102,0.0781758957654723,0.149837133550489,0.290445168295331,0.429967426710098,1842,10000
0.1,0,8,444,5,0,0,0.14823815309842,0.150668286755772,0.166464155528554,0.222357229647631,0.312272174969623,823,10000
0.25,0,8,444,5,0,0,0.0895522388059701,0.128043990573449,0.16967792615868,0.252945797329144,0.359780047132757,1273,10000
0.5,0,8,444,5,0,0,0.0699195171026157,0.108651911468813,0.156438631790744,0.266096579476861,0.398893360160966,1988,10000
0.75,0,8,444,5,0,0,0.0537712017322266,0.0934680620714543,0.152652472031758,0.272825694695056,0.427282569469506,2771,10000
1,0,8,444,5,0,0,0.0438720634022078,0.0931219926408152,0.150863288989527,0.271157656382678,0.440984998584772,3533,10000
0.1,0,22,444,5,0,0,0.153553299492386,0.144670050761421,0.158629441624365,0.217005076142132,0.326142131979695,788,10000
0.25,0,22,444,5,0,0,0.101781170483461,0.114503816793893,0.159457167090755,0.230703986429177,0.393553859202714,1179,10000
0.5,0,22,444,5,0,0,0.0608938547486034,0.093854748603352,0.146927374301676,0.248603351955307,0.449720670391061,1790,10000
0.75,0,22,444,5,0,0,0.0492408699220353,0.0796060730406237,0.141567501025851,0.263438654082889,0.466146901928601,2437,10000
1,0,22,444,5,0,0,0.04192,0.06816,0.13536,0.2656,0.48896,3125,10000
0.1,0,50,444,5,0,0,0.144662921348315,0.127808988764045,0.174157303370787,0.24438202247191,0.308988764044944,712,10000
0.25,0,50,444,5,0,0,0.089080459770115,0.10823754789272,0.148467432950192,0.257662835249042,0.396551724137931,1044,10000
0.5,0,50,444,5,0,0,0.0553410553410553,0.0727155727155727,0.143500643500644,0.26962676962677,0.458815958815959,1554,10000
0.75,0,50,444,5,0,0,0.0464114832535885,0.061244019138756,0.128708133971292,0.271291866028708,0.492344497607656,2090,10000
1,0,50,444,5,0,0,0.035835533760845,0.054319124858544,0.117691437193512,0.284420973217654,0.507732930969446,2651,10000
0.1,0,177,444,5,0,0,0.178571428571429,0.159090909090909,0.185064935064935,0.183441558441558,0.293831168831169,616,10000
0.25,0,177,444,5,0,0,0.148241206030151,0.129396984924623,0.150753768844221,0.21105527638191,0.360552763819095,796,10000
0.5,0,177,444,5,0,0,0.102209944751381,0.101289134438306,0.141804788213628,0.215469613259669,0.439226519337017,1086,10000
0.75,0,177,444,5,0,0,0.0835181079083518,0.0650406504065041,0.11160384331116,0.238728750923873,0.501108647450111,1353,10000
1,0,177,444,5,0,0,0.0676737160120846,0.0537764350453172,0.0990936555891239,0.23987915407855,0.539577039274925,1655,10000
0.1,0,8,1063,5,0,0,0.11277330264672,0.147295742232451,0.173762945914845,0.217491369390104,0.34867663981588,869,10000
0.25,0,8,1063,5,0,0,0.076869322152341,0.107617051013277,0.150943396226415,0.23759608665269,0.426974143955276,1431,10000
0.5,0,8,1063,5,0,0,0.052997393570808,0.0929626411815812,0.135534317984361,0.256733275412685,0.461772371850565,2302,10000
