"","nvar","r","d","het","iter","alpha","strategy","p1","p2","p3","p4","p5"
"146",2,0,0.5,0.4,1000,0.05,2,68.3848797250859,8.07560137457045,7.21649484536082,4.98281786941581,5.32646048109966
"147",2,0,0.5,0.4,1000,0.05,3,63.0584192439863,9.96563573883162,9.45017182130584,6.52920962199313,5.84192439862543
"148",5,0,0.5,0.4,1000,0.05,1,70.1822916666667,9.50520833333333,4.03645833333333,3.77604166666667,3.25520833333333
"149",5,0,0.5,0.4,1000,0.05,2,70.1822916666667,9.50520833333333,4.03645833333333,3.77604166666667,3.25520833333333
"150",5,0,0.5,0.4,1000,0.05,3,56.7708333333333,13.28125,8.59375,7.03125,7.8125
"151",10,0,0.5,0.4,1000,0.05,1,76.054732041049,7.52565564424173,4.56100342075257,3.76282782212087,3.30672748004561
"152",10,0,0.5,0.4,1000,0.05,2,76.054732041049,7.52565564424173,4.56100342075257,3.76282782212087,3.30672748004561
"153",10,0,0.5,0.4,1000,0.05,3,57.1265678449259,13.1128848346636,11.2884834663626,8.0957810718358,7.06955530216648
"154",2,0.5,0.5,0.4,1000,0.05,1,69.0812720848057,11.13074204947,6.36042402826855,3.53356890459364,4.41696113074205
"155",2,0.5,0.5,0.4,1000,0.05,2,69.0812720848057,11.13074204947,6.36042402826855,3.53356890459364,4.41696113074205
"156",2,0.5,0.5,0.4,1000,0.05,3,63.9575971731449,12.0141342756184,7.24381625441696,5.12367491166078,6.36042402826855
"157",5,0.5,0.5,0.4,1000,0.05,1,71.242774566474,7.51445086705202,6.21387283236994,2.74566473988439,4.47976878612717
"158",5,0.5,0.5,0.4,1000,0.05,2,71.242774566474,7.51445086705202,6.21387283236994,2.74566473988439,4.47976878612717
"159",5,0.5,0.5,0.4,1000,0.05,3,58.6705202312139,12.1387283236994,9.53757225433526,6.35838150289017,7.51445086705202
"160",10,0.5,0.5,0.4,1000,0.05,1,70.0389105058366,8.81971465629053,6.09597924773022,5.05836575875486,3.89105058365759
"161",10,0.5,0.5,0.4,1000,0.05,2,70.0389105058366,8.81971465629053,6.09597924773022,5.05836575875486,3.89105058365759
"162",10,0.5,0.5,0.4,1000,0.05,3,48.2490272373541,14.2671854734112,12.3216601815824,11.284046692607,9.59792477302205
